,simulation,time,R_c
0,cgenff/refCMC26/refCMC26/FEP/octanol/Coulomb/0000,812719,0.0496
1,cgenff/refCMC26/refCMC26/FEP/octanol/Coulomb/0125,510254,0.035
2,cgenff/refCMC26/refCMC26/FEP/octanol/Coulomb/0250,184231,0.0347
3,cgenff/refCMC26/refCMC26/FEP/octanol/Coulomb/0375,132756,0.0414
4,cgenff/refCMC26/refCMC26/FEP/octanol/Coulomb/0500,82755,0.022
5,cgenff/refCMC26/refCMC26/FEP/octanol/Coulomb/0750,83350,0.0492
6,cgenff/refCMC26/refCMC26/FEP/octanol/Coulomb/1000,61486,0.0169
7,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0000,318742,0.0453
8,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0050,70569,0.0274
9,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0100,70654,0.0113
10,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0200,69585,0.0323
11,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0300,68964,0.0212
12,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0400,65844,0.0332
13,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0500,92415,0.01
14,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0600,90775,0.0399
15,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0650,67467,0.0259
16,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0700,190919,0.0463
17,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0750,116266,0.0404
18,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0800,917737,0.0409
19,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0850,616633,0.0161
20,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0900,118175,0.0294
21,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/0950,67110,0.0264
22,cgenff/refCMC26/refCMC26/FEP/octanol/VDW/1000,68048,0.0268
23,cgenff/refCMC26/refCMC26/FEP/water/Coulomb/0000,73666,0.0003
24,cgenff/refCMC26/refCMC26/FEP/water/Coulomb/0250,65362,0.0009
25,cgenff/refCMC26/refCMC26/FEP/water/Coulomb/0500,67128,0.0006
26,cgenff/refCMC26/refCMC26/FEP/water/Coulomb/0750,75659,0.0001
27,cgenff/refCMC26/refCMC26/FEP/water/Coulomb/1000,80000,0.0
28,cgenff/refCMC26/refCMC26/FEP/water/VDW/0000,84825,0.0009
29,cgenff/refCMC26/refCMC26/FEP/water/VDW/0050,85560,0.0008
30,cgenff/refCMC26/refCMC26/FEP/water/VDW/0100,85215,0.0004
31,cgenff/refCMC26/refCMC26/FEP/water/VDW/0200,89061,0.0003
32,cgenff/refCMC26/refCMC26/FEP/water/VDW/0300,92399,0.0009
33,cgenff/refCMC26/refCMC26/FEP/water/VDW/0400,88686,0.0005
34,cgenff/refCMC26/refCMC26/FEP/water/VDW/0500,89383,0.0035
35,cgenff/refCMC26/refCMC26/FEP/water/VDW/0600,89680,0.0028
36,cgenff/refCMC26/refCMC26/FEP/water/VDW/0650,88861,0.0121
37,cgenff/refCMC26/refCMC26/FEP/water/VDW/0700,87772,0.0496
38,cgenff/refCMC26/refCMC26/FEP/water/VDW/0750,87416,0.0348
39,cgenff/refCMC26/refCMC26/FEP/water/VDW/0800,85650,0.0056
40,cgenff/refCMC26/refCMC26/FEP/water/VDW/0850,86627,0.0047
41,cgenff/refCMC26/refCMC26/FEP/water/VDW/0900,88594,0.0012
42,cgenff/refCMC26/refCMC26/FEP/water/VDW/0950,87337,0.0012
43,cgenff/refCMC26/refCMC26/FEP/water/VDW/1000,89275,0.0005
44,cgenff/refJMC11/refJMC11/FEP/octanol/Coulomb/0000,1003997,0.151
45,cgenff/refJMC11/refJMC11/FEP/octanol/Coulomb/0125,1003442,0.0512
46,cgenff/refJMC11/refJMC11/FEP/octanol/Coulomb/0250,703668,0.0324
47,cgenff/refJMC11/refJMC11/FEP/octanol/Coulomb/0375,52889,0.0225
48,cgenff/refJMC11/refJMC11/FEP/octanol/Coulomb/0500,28258,0.0461
49,cgenff/refJMC11/refJMC11/FEP/octanol/Coulomb/0750,28207,0.0234
