,simulation,time,R_c
1188,oplsaa/refCMC26/refCMC26/FEP/octanol/Coulomb/0000,288552,0.0452
1189,oplsaa/refCMC26/refCMC26/FEP/octanol/Coulomb/0125,585890,0.0289
1190,oplsaa/refCMC26/refCMC26/FEP/octanol/Coulomb/0250,364093,0.0438
1191,oplsaa/refCMC26/refCMC26/FEP/octanol/Coulomb/0375,716339,0.0397
1192,oplsaa/refCMC26/refCMC26/FEP/octanol/Coulomb/0500,615174,0.0478
1193,oplsaa/refCMC26/refCMC26/FEP/octanol/Coulomb/0750,281544,0.0301
1194,oplsaa/refCMC26/refCMC26/FEP/octanol/Coulomb/1000,50000,0.0163
1195,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0000,50000,0.0124
1196,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0050,115837,0.0249
1197,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0100,50000,0.0202
1198,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0200,50000,0.0102
1199,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0300,50000,0.0097
1200,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0400,50000,0.0093
1201,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0500,142983,0.0062
1202,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0600,142931,0.0352
1203,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0650,141978,0.0133
1204,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0700,399146,0.0392
1205,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0750,232701,0.0308
1206,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0800,231002,0.0439
1207,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0850,757579,0.0431
1208,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0900,139505,0.0404
1209,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/0950,50000,0.0382
1210,oplsaa/refCMC26/refCMC26/FEP/octanol/VDW/1000,50000,0.0081
1211,oplsaa/refCMC26/refCMC26/FEP/water/Coulomb/0000,50000,0.0015
1212,oplsaa/refCMC26/refCMC26/FEP/water/Coulomb/0250,50000,0.0015
1213,oplsaa/refCMC26/refCMC26/FEP/water/Coulomb/0500,50000,0.0036
